time_iso8601,forks_cumulative
2024-06-27 00:00:00+00:00,39729
2024-06-28 00:00:00+00:00,39743
2024-06-29 00:00:00+00:00,39762
2024-06-30 00:00:00+00:00,39770
2024-07-01 00:00:00+00:00,39787
2024-07-02 00:00:00+00:00,39818
2024-07-03 00:00:00+00:00,39838
2024-07-04 00:00:00+00:00,39858
2024-07-05 00:00:00+00:00,39875
2024-07-06 00:00:00+00:00,39895
2024-07-07 00:00:00+00:00,39909
2024-07-08 00:00:00+00:00,39930
2024-07-09 00:00:00+00:00,39966
2024-07-10 00:00:00+00:00,40001
2024-07-11 00:00:00+00:00,40032
2024-07-12 00:00:00+00:00,40058
2024-07-13 00:00:00+00:00,40083
2024-07-14 00:00:00+00:00,40119
2024-07-15 00:00:00+00:00,40146
2024-07-16 00:00:00+00:00,40175
2024-07-17 00:00:00+00:00,40198
2024-07-18 00:00:00+00:00,40240
2024-07-19 00:00:00+00:00,40267
2024-07-20 00:00:00+00:00,40278
2024-07-21 00:00:00+00:00,40299
2024-07-22 00:00:00+00:00,40311
2024-07-23 00:00:00+00:00,40326
2024-07-24 00:00:00+00:00,40351
2024-07-25 00:00:00+00:00,40367
2024-07-26 00:00:00+00:00,40383
2024-07-27 00:00:00+00:00,40397
2024-07-28 00:00:00+00:00,40408
2024-07-29 00:00:00+00:00,40427
2024-07-30 00:00:00+00:00,40444
2024-07-31 00:00:00+00:00,40457
2024-08-01 00:00:00+00:00,40477
2024-08-02 00:00:00+00:00,40497
2024-08-03 00:00:00+00:00,40505
2024-08-04 00:00:00+00:00,40519
2024-08-05 00:00:00+00:00,40532
2024-08-06 00:00:00+00:00,40546
2024-08-07 00:00:00+00:00,40566
2024-08-08 00:00:00+00:00,40584
2024-08-09 00:00:00+00:00,40595
2024-08-10 00:00:00+00:00,40606
2024-08-11 00:00:00+00:00,40615
2024-08-12 00:00:00+00:00,40625
2024-08-13 00:00:00+00:00,40641
2024-08-14 00:00:00+00:00,40667
2024-08-15 00:00:00+00:00,40687
2024-08-16 00:00:00+00:00,40703
2024-08-17 00:00:00+00:00,40710
2024-08-18 00:00:00+00:00,40724
2024-08-19 00:00:00+00:00,40732
